[Wed Apr 05 12:33:58.122224 2017] [:error] [pid 2400] [client 127.0.0.1:51762] PHP  14. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:30, referer: http://openit.tes/admin/event/add
[Wed Apr 05 12:33:58.122250 2017] [:error] [pid 2400] [client 127.0.0.1:51762] PHP  15. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://openit.tes/admin/event/add
[Wed Apr 05 12:33:58.122258 2017] [:error] [pid 2400] [client 127.0.0.1:51762] PHP  16. Illuminate\\Foundation\\Http\\Middleware\\TransformsRequest->handle() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://openit.tes/admin/event/add
[Wed Apr 05 12:33:58.122265 2017] [:error] [pid 2400] [client 127.0.0.1:51762] PHP  17. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:30, referer: http://openit.tes/admin/event/add
[Wed Apr 05 12:33:58.122272 2017] [:error] [pid 2400] [client 127.0.0.1:51762] PHP  18. Illuminate\\Foundation\\Http\\Kernel->Illuminate\\Foundation\\Http\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30, referer: http://openit.tes/admin/event/add
[Wed Apr 05 12:33:58.122279 2017] [:error] [pid 2400] [client 127.0.0.1:51762] PHP  19. Illuminate\\Routing\\Router->dispatch() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:174, referer: http://openit.tes/admin/event/add
[Wed Apr 05 12:33:58.122286 2017] [:error] [pid 2400] [client 127.0.0.1:51762] PHP  20. Illuminate\\Routing\\Router->dispatchToRoute() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Router.php:498, referer: http://openit.tes/admin/event/add
[Wed Apr 05 12:33:58.122297 2017] [:error] [pid 2400] [client 127.0.0.1:51762] PHP  21. Illuminate\\Routing\\Router->runRouteWithinStack() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Router.php:520, referer: http://openit.tes/admin/event/add
[Wed Apr 05 12:33:58.122304 2017] [:error] [pid 2400] [client 127.0.0.1:51762] PHP  22. Illuminate\\Pipeline\\Pipeline->then() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Router.php:561, referer: http://openit.tes/admin/event/add
[Wed Apr 05 12:33:58.122311 2017] [:error] [pid 2400] [client 127.0.0.1:51762] PHP  23. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:102, referer: http://openit.tes/admin/event/add
[Wed Apr 05 12:33:58.122318 2017] [:error] [pid 2400] [client 127.0.0.1:51762] PHP  24. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://openit.tes/admin/event/add
[Wed Apr 05 12:33:58.122324 2017] [:error] [pid 2400] [client 127.0.0.1:51762] PHP  25. Illuminate\\Cookie\\Middleware\\EncryptCookies->handle() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://openit.tes/admin/event/add
[Wed Apr 05 12:33:58.122331 2017] [:error] [pid 2400] [client 127.0.0.1:51762] PHP  26. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59, referer: http://openit.tes/admin/event/add
[Wed Apr 05 12:33:58.122338 2017] [:error] [pid 2400] [client 127.0.0.1:51762] PHP  27. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://openit.tes/admin/event/add
[Wed Apr 05 12:33:58.122344 2017] [:error] [pid 2400] [client 127.0.0.1:51762] PHP  28. Illuminate\\Cookie\\Middleware\\AddQueuedCookiesToResponse->handle() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://openit.tes/admin/event/add
